ts_utc,open,high,low,close
1779750000,158.9150,158.9680,158.9010,158.9490
1779753600,158.9490,158.9930,158.9260,158.9650
1779757200,158.9610,159.0040,158.9380,158.9670
1779760800,158.9610,158.9870,158.9260,158.9390
1779764400,158.9390,158.9460,158.9030,158.9330
1779768000,158.9330,159.0220,158.9250,158.9910
1779771600,158.9960,159.0350,158.9640,159.0190
1779775200,159.0280,159.1210,159.0130,159.0980
1779778800,159.0990,159.2030,159.0880,159.1960
1779782400,159.1920,159.2400,159.1880,159.2060
1779786000,159.2130,159.2250,159.1510,159.1560
1779789600,159.1530,159.1810,159.1020,159.1400
1779793200,159.1400,159.2150,159.1260,159.1860
1779796800,159.1860,159.2310,159.1800,159.2290
1779800400,159.2240,159.3030,159.2200,159.2740
1779804000,159.2760,159.3270,159.2190,159.3190
1779807600,159.3170,159.3820,159.2940,159.3570
1779811200,159.3580,159.3630,159.2760,159.3040
1779814800,159.2990,159.3800,159.2770,159.3580
1779818400,159.3590,159.3740,159.2960,159.3280
1779822000,159.3330,159.3470,159.2950,159.3160
1779825600,159.3130,159.3340,159.2710,159.2850
1779829200,159.2710,159.3100,159.2380,159.2430
1779832800,159.2430,159.3020,159.2070,159.2670
1779836400,159.2490,159.2760,159.1910,159.2520
1779840000,159.2430,159.3130,159.1670,159.2760
1779843600,159.2760,159.3050,159.2090,159.2920
1779847200,159.2920,159.3040,159.2170,159.2220
1779850800,159.2180,159.2330,159.1800,159.2000
1779854400,159.1980,159.2460,159.1920,159.2390
1779858000,159.2420,159.3500,159.2240,159.3490
1779861600,159.3440,159.3790,159.2900,159.3500
1779865200,159.3490,159.3660,159.2980,159.3510
1779868800,159.3510,159.4450,159.3100,159.3940
1779872400,159.3880,159.4000,159.3100,159.3590
1779876000,159.3510,159.3920,159.3390,159.3830
1779879600,159.3760,159.4490,159.3680,159.4290
1779883200,159.4280,159.4490,159.2410,159.4150
1779886800,159.4170,159.4370,159.3740,159.3840
1779890400,159.3740,159.5110,159.3610,159.5070
1779894000,159.5080,159.5370,159.4300,159.4660
1779897600,159.4690,159.5250,159.4600,159.4940
1779901200,159.4860,159.5800,159.4850,159.5180
1779904800,159.5190,159.5570,159.4880,159.5070
1779908400,159.5060,159.5520,159.4960,159.5410
1779912000,159.5400,159.5430,159.4880,159.5010
1779915600,159.4940,159.5130,159.3910,159.4390
1779919200,159.4620,159.5180,159.4330,159.5020
1779922800,159.4970,159.5790,159.4850,159.5600
1779926400,159.5680,159.6030,159.5370,159.5590
1779930000,159.5580,159.5930,159.5300,159.5890
1779933600,159.5830,159.6040,159.5160,159.5590
1779937200,159.5540,159.6530,159.5310,159.6190
1779940800,159.6100,159.6200,159.5150,159.5690
1779944400,159.5690,159.5830,159.5230,159.5460
1779948000,159.5580,159.5720,159.4610,159.4870
1779951600,159.4840,159.5240,159.4350,159.4740
1779955200,159.4740,159.5270,159.4440,159.4570
1779958800,159.4470,159.4710,159.3730,159.4100
1779962400,159.4080,159.4670,159.3710,159.4600
1779966000,159.4660,159.4690,159.4080,159.4620
1779969600,159.4580,159.4640,159.2940,159.3640
1779973200,159.3660,159.4580,159.3130,159.4430
1779976800,159.4490,159.4930,159.1580,159.2270
1779980400,159.2260,159.2970,159.1740,159.2850
1779984000,159.2930,159.3390,159.1050,159.1590
1779987600,159.1650,159.2390,159.1420,159.1940
1779991200,159.1940,159.2870,159.1700,159.2570
1779994800,159.2570,159.2890,159.2020,159.2420
1779998400,159.2470,159.2760,159.2150,159.2220
1780002000,159.2170,159.2330,159.1660,159.2260
1780005600,159.2130,159.2810,159.1670,159.2600
1780009200,159.2600,159.2880,159.2130,159.2670
1780012800,159.2610,159.3250,159.2390,159.2850
1780016400,159.2880,159.3310,159.2460,159.3160
1780020000,159.3170,159.3240,159.2630,159.3150
1780023600,159.3060,159.3700,159.3030,159.3610
1780027200,159.3510,159.3780,159.2940,159.2950
1780030800,159.2950,159.3330,159.2780,159.3130
1780034400,159.3050,159.3330,159.1880,159.2070
1780038000,159.2110,159.3190,159.1940,159.2540
1780041600,159.2590,159.3190,159.2050,159.2900
1780045200,159.2900,159.3010,159.2310,159.2930
1780048800,159.2920,159.3220,159.2550,159.2800
1780052400,159.2790,159.3020,159.2400,159.2500
1780056000,159.2520,159.3090,159.2390,159.2540
1780059600,159.2530,159.3100,159.2340,159.3020
1780063200,159.3030,159.3580,159.1570,159.1870
1780066800,159.1890,159.2470,159.0900,159.2270
1780070400,159.2270,159.2530,159.1760,159.1930
1780074000,159.1930,159.2880,159.1770,159.2850
1780077600,159.2770,159.3060,159.2140,159.2580
1780081200,159.2630,159.2750,159.2090,159.2490
1780084800,159.2600,159.2920,159.2100,159.2490
1780088400,159.2550,159.2550,159.2550,159.2550
1780268400,159.3880,159.4000,159.2920,159.3610
1780272000,159.3530,159.4710,159.3530,159.4540
1780275600,159.4490,159.4990,159.4420,159.4880
1780279200,159.4840,159.4990,159.4450,159.4640
1780282800,159.4580,159.4870,159.4300,159.4720
1780286400,159.4720,159.4830,159.4470,159.4530
1780290000,159.4530,159.4820,159.4290,159.4640
1780293600,159.4590,159.5010,159.4080,159.4260
1780297200,159.4190,159.4860,159.4030,159.4600
1780300800,159.4610,159.4750,159.4340,159.4460
1780304400,159.4480,159.4830,159.4360,159.4510
1780308000,159.4500,159.4790,159.4360,159.4480
1780311600,159.4480,159.4950,159.4360,159.4910
1780315200,159.4830,159.4950,159.4270,159.4800
1780318800,159.4820,159.7420,159.4790,159.7100
1780322400,159.7210,159.7640,159.6520,159.7160
1780326000,159.7240,159.7370,159.5720,159.6570
1780329600,159.6540,159.7120,159.5590,159.5950
1780333200,159.6020,159.6840,159.5640,159.6280
1780336800,159.6300,159.7650,159.6120,159.7640
1780340400,159.7590,159.7610,159.6430,159.6930
1780344000,159.6870,159.7050,159.6360,159.6410
1780347600,159.6430,159.6740,159.5310,159.6020
1780351200,159.6020,159.6710,159.5650,159.6540
1780354800,159.6610,159.6610,159.6110,159.6350
1780358400,159.6350,159.7270,159.6290,159.6600
1780362000,159.6570,159.7240,159.6300,159.7070
1780365600,159.7080,159.7230,159.6710,159.7070
1780369200,159.7150,159.7240,159.6800,159.7200
1780372800,159.7130,159.7300,159.7040,159.7210
1780376400,159.7210,159.7430,159.7060,159.7410
1780380000,159.7340,159.7480,159.6800,159.6970
1780383600,159.6970,159.7280,159.6850,159.6890
1780387200,159.6930,159.7460,159.6470,159.7430
1780390800,159.7440,159.7510,159.6880,159.7350
1780394400,159.7320,159.7540,159.7010,159.7280
1780398000,159.7280,159.7520,159.7070,159.7470
1780401600,159.7380,159.7860,159.7290,159.7780
1780405200,159.7760,159.8350,159.7590,159.7740
1780408800,159.7970,159.8770,159.7670,159.8590
1780412400,159.8600,159.9020,159.8520,159.8740
1780416000,159.8720,159.9490,159.8560,159.9020
1780419600,159.9030,159.9690,159.8850,159.9590
1780423200,159.9550,159.9900,159.8960,159.9000
1780426800,159.8990,159.9540,159.8840,159.9220
1780430400,159.9270,159.9500,159.8630,159.8640
1780434000,159.8660,159.9150,159.8160,159.8970
1780437600,159.8670,159.9780,159.8450,159.9440
1780441200,159.9520,159.9980,159.9370,159.9800
1780444800,159.9790,159.9870,159.8870,159.9350
1780448400,159.9340,159.9450,159.8070,159.8540
1780452000,159.8540,159.8800,159.8240,159.8660
1780455600,159.8650,159.9030,159.8620,159.8790
1780459200,159.8800,159.8980,159.8610,159.8820
1780462800,159.8820,159.9330,159.8610,159.9210
1780466400,159.9270,159.9870,159.9000,159.9720
1780470000,159.9720,159.9970,159.5380,159.7010
1780473600,159.6980,159.8170,159.3510,159.7480
1780477200,159.7480,159.8840,159.7460,159.7890
1780480800,159.7800,159.8550,159.6570,159.7860
1780484400,159.7910,159.8400,159.7750,159.8380
1780488000,159.8340,159.9310,159.7730,159.9110
1780491600,159.9110,159.9850,159.8870,159.9520
1780495200,159.9740,160.0020,159.8910,159.9400
1780498800,159.9400,160.0050,159.9320,159.9710
1780502400,159.9630,160.0490,159.9430,159.9830
1780506000,159.9780,160.0510,159.9460,160.0380
1780509600,160.0490,160.0600,160.0110,160.0330
1780513200,160.0320,160.0800,159.9940,160.0710
1780516800,160.0760,160.0940,160.0240,160.0240
1780520400,160.0360,160.0550,159.9350,159.9890
1780524000,159.9890,160.0830,159.8170,159.9450
1780527600,159.9120,159.9810,159.8820,159.9430
1780531200,159.9420,159.9680,159.8780,159.9030
